"ccode","year","revstate","fatality","hostlev"
"alb",1992,1,0,3
"alb",1993,1,1,4
"alb",1994,0.5,1,4
"alb",1995,0,0,1
"alb",1996,0,0,0
"alb",1997,0,0,2
"alb",1998,1,1,4
"alb",1999,1,1,4
"alb",2000,0,0,3
"alb",2001,0,0,3
"alb",2002,0,0,1
"alb",2003,0,0,0
"alb",2004,0,0,0
"alb",2005,0,0,0
"alb",2006,0,0,0
"alb",2007,0,0,0
"alb",2008,0,0,0
"alb",2009,0,0,0
"alb",2010,0,0,0
"alb",2011,1,0,2
"alb",2012,0,0,0
"alb",2013,0,0,0
"alb",2014,0,0,0
"alg",1816,0,0,0
"alg",1817,0,0,0
"alg",1818,0,0,0
"alg",1819,0,0,0
"alg",1820,0,0,0
"alg",1821,0,0,0
"alg",1822,0,0,0
"alg",1823,0,0,0
"alg",1824,0,0,0
"alg",1825,0,0,0
"alg",1826,0,0,0
"alg",1827,0,0,0
"alg",1828,0,0,0
"alg",1829,0,0,0
"alg",1830,0,0,0
"alg",1831,0,0,0
"alg",1832,0,0,0
"alg",1833,0,0,0
"alg",1834,0,0,0
"alg",1835,0,0,0
"alg",1836,0,0,0
"alg",1837,0,0,0
"alg",1838,0,0,0
"alg",1839,0,0,0
"alg",1840,0,0,0
"alg",1841,0,0,0
"alg",1842,0,0,0
"alg",1843,0,0,0
"alg",1844,0,0,0
"alg",1845,0,0,0
"alg",1846,0,0,0
"alg",1847,0,0,0
"alg",1848,0,0,0
"alg",1849,0,0,0
"alg",1850,0,0,0
"alg",1851,0,0,0
"alg",1852,0,0,0
"alg",1853,0,0,0
"alg",1854,0,0,0
"alg",1855,0,0,0
"alg",1856,0,0,0
"alg",1857,0,0,0
"alg",1858,0,0,0
"alg",1859,0,0,0
"alg",1860,0,0,0
"alg",1861,0,0,0
"alg",1862,0,0,0
"alg",1863,0,0,0
"alg",1864,0,0,0
"alg",1865,0,0,0
"alg",1866,0,0,0
"alg",1867,0,0,0
