"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"canada","can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.22,56.09,59.25,62.69,63.29,64.38,64.69,61.65,58.89,53.07,46.33,46.15,43.06,40.6,36.68,36.24,33.79,29.9,36.25,43.67,44.07,44.95,45.28,42.59,40.57,43.17,42.88,41.28,39.65,39.09,60.6,55.88,48.66,50.97,52
"central african republic","caf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.27,20.38,20.53,24.72,26.62,25.14,25.38,26.49,24.3,20.36,30.9,35.06,36.42,40.36,42.05,38.93,40.96,48.81,48.76,50.89,44.57,55.78,57.42,68.22,103.44,83.83,92.99,88.46,85.32,84.16,94.68,103.11,98.52,95.89,99.72,102.96,46.75,47.85,35.77,20.3,19.88,19.69,31.53,51.79,62.24,59.79,53.89,50.27,50.03,48.15,44.4,48.52,51.03,58.18,60.67
"chad","tcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.87,12.14,8.73,9.44,12.64,16.57,18.86,23.05,25.14,32.15,31.47,23.81,20.83,20.43,17.31,15.96,15.91,18.53,18.31,19.65,21.42,26.02,29.63,37.35,44.03,41.12,40.51,41.32,34.7,44.68,52.41,43.51,41.96,34.42,25.16,21.96,20.08,17.64,15.66,23.87,22.86,22.32,19.94,22.28,29.5,31.31,40.27,38.93,33.42,38.18,41.07,41.56,32.23,32.6,33.8
"chile","chl",9.19,8.04,8.54,6.91,5.54,5.04,7.21,9.23,8.96,9.54,6.97,7.91,6.94,9.16,9.54,12.51,12.52,14.78,17.73,21.32,26.14,19.88,9.99,11,18.69,28.16,19.4,16.43,25.78,23.07,17.26,13.92,20.17,45.18,56.23,79.22,87.77,81.02,70.66,51.53,49.9,43.95,35.86,32.34,28.85,22.15,16.81,14.33,14.6,15.97,15.49,14.35,15.05,12.57,10.31,7.04,5.02,3.9,4.92,5.84,8.61,11.13,11.94,12.78,15.02,17.37,21.1,23.65,25.8,28.33,32.38,36.45,37.91,39.42,41.65
"china, people's republic of","chn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"colombia","col",5.64,5.08,5.07,4.7,4.84,4.03,4.43,4.89,5.87,5.09,4.87,6.27,11.86,12.03,11.36,12.45,13.88,12.61,13.42,13.95,14.44,14.68,15.13,14.07,13.67,12.4,10.93,8.42,6.75,7.24,7.33,7.75,8.18,9.6,13.25,16.51,19.47,18.57,17.96,17.09,16.62,14.83,16.45,14.32,12.35,8.8,9.26,11.74,13.68,20.31,26.45,31.05,37.11,36.63,34.97,32.71,31.03,27.22,26.13,28.88,29.52,29.09,27.33,29.57,32.88,37.3,37.38,38.29,41.36,40.68,52.38,50.95,48.49,43.89,NA
"comoros, union of the","com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.12,142.8,136.64,128.81,119.86,113.65,108.13,103.87,100.99,95.74,87.78,77.7,75.35,70.88,69.36,64.48,60.71,52.96,48.17,44.45,42.4,39.89,38.48,35.62,33.22,31.73,30.46,27.67,25.07,10.28,11.82,14.27,16.16,18.93,17.02,21.23,24.32,26.28,28.18,28.65,30.82
"congo, democratic republic of the","cod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"congo, republic of","cog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.06,36.5,33.75,32.87,39.36,44.09,48.56,56.79,67.53,63.06,64.17,82.76,124.25,143.64,159.78,191.31,170.07,166.41,161.2,151.67,155.45,142.31,129.84,148.48,231.14,226.32,189.82,198.99,230.18,206.32,145.02,180.08,163.51,185.31,122.59,99.75,94.72,93.76,69.6,83.84,43.49,34.39,30.2,33.94,42.32,74.18,84.64,88.48,71.22,77.6,102.51,97.76,92.48,99.01,95.44
"costa rica","cri",29.38,25.64,21.47,19.53,16.06,15.8,15.29,16.23,14.24,17.07,16.12,20.31,19.68,21.79,22.71,24.08,24.75,26.67,27.69,25.67,28.62,30.42,31.84,32.82,30.35,26.07,29.49,27.8,41.71,39.51,37.72,32.26,31.83,29.79,25.23,22.83,26.14,21.18,18.22,19.31,18.54,28.36,23.32,24.43,26.97,29.06,33.69,30.56,40.69,38.98,38.85,39.64,41.44,40.57,41,37.32,33.04,26.98,24.01,25.99,28.08,29.5,33.75,35.09,37.48,39.77,43.78,46.78,51.58,56.08,66.93,67.74,63.07,61.17,59.78
