"ccode","country","year","vfi"
"cri","costa rica",2005,0.476632624864578
"cri","costa rica",2006,-0.0636326223611832
"cri","costa rica",2007,0.0281739849597216
"cri","costa rica",2008,0.176630973815918
"cri","costa rica",2009,0.1887336820364
"cri","costa rica",2010,0.169535502791405
"cri","costa rica",2011,0.140240147709847
"cri","costa rica",2012,0.132866561412811
"cri","costa rica",2013,0.0590185597538948
"cri","costa rica",2014,0.095663458108902
"deu","germany",1991,0.207612365484238
"deu","germany",1992,0.197279945015907
"deu","germany",1993,0.187237575650215
"deu","germany",1994,0.177544310688972
"deu","germany",1995,0.169762253761292
"deu","germany",1996,0.167483136057854
"deu","germany",1997,0.167551472783089
"deu","germany",1998,0.138526529073715
"deu","germany",1999,0.11840395629406
"deu","germany",2000,0.113798700273037
"deu","germany",2001,0.171659767627716
"deu","germany",2002,0.188045516610146
"deu","germany",2003,0.19035305082798
"deu","germany",2004,0.167272627353668
"deu","germany",2005,0.154469043016434
"deu","germany",2006,0.117690913379192
"deu","germany",2007,0.0659474208950996
"deu","germany",2008,0.0706681907176971
"deu","germany",2009,0.147300988435745
"deu","germany",2010,0.166967302560806
"deu","germany",2011,0.127240613102913
"deu","germany",2012,0.109471365809441
"deu","germany",2013,0.106958217918873
"deu","germany",2014,0.102057255804539
"deu","germany",2015,0.0819324776530266
"deu","germany",2016,0.0681855827569962
"deu","germany",2017,0.0503427684307098
"deu","germany",2018,0.0458719506859779
"deu","germany",2019,0.0564099363982677
"deu","germany",2020,0.175844132900238
"esp","spain",1995,0.599966406822205
"esp","spain",1996,0.602458417415619
"esp","spain",1997,0.539766430854797
"esp","spain",1998,0.533856689929962
"esp","spain",1999,0.538567304611206
"esp","spain",2000,0.551447987556458
"esp","spain",2001,0.568436861038208
"esp","spain",2002,0.526650190353394
"esp","spain",2003,0.527391850948334
"esp","spain",2004,0.500311017036438
"esp","spain",2005,0.491575092077255
"esp","spain",2006,0.471984297037125
"esp","spain",2007,0.495201289653778
"esp","spain",2008,0.557230651378632
"esp","spain",2009,0.594369769096375
"esp","spain",2010,0.60200697183609
"esp","spain",2011,0.565195560455322
"esp","spain",2012,0.451562970876694
"esp","spain",2013,0.487960606813431
"esp","spain",2014,0.484076648950577
"esp","spain",2015,0.478656560182571
"esp","spain",2016,0.447526216506958
"esp","spain",2017,0.433678269386292
"esp","spain",2018,0.431534886360168
"esp","spain",2019,0.439808577299118
"esp","spain",2020,0.488432765007019
"est","estonia",1995,0.881682097911835
"est","estonia",1996,0.862804055213928
"est","estonia",1997,0.839752435684204
"est","estonia",1998,0.864887773990631
"est","estonia",1999,0.865983545780182
"est","estonia",2000,0.854566812515259
"est","estonia",2001,0.86251312494278
"est","estonia",2002,0.836983263492584
"est","estonia",2003,0.855193853378296
"est","estonia",2004,0.856370329856873
"est","estonia",2005,0.852971851825714
"est","estonia",2006,0.859057128429413
"est","estonia",2007,0.868971407413483
"est","estonia",2008,0.865831553936005
"est","estonia",2009,0.856374561786652
"est","estonia",2010,0.83436781167984
"est","estonia",2011,0.83512544631958
"est","estonia",2012,0.847393333911896
"est","estonia",2013,0.852583408355713
"est","estonia",2014,0.842264711856842
"est","estonia",2015,0.839737117290497
"est","estonia",2016,0.839792728424072
"est","estonia",2017,0.853109121322632
"est","estonia",2018,0.860893368721008
"est","estonia",2019,0.867841899394989
"est","estonia",2020,0.884714066982269
"gbr","united kingdom",1995,0.752396941184998
"gbr","united kingdom",1996,0.738346219062805
"gbr","united kingdom",1997,0.732374250888824
"gbr","united kingdom",1998,0.716814696788788
"gbr","united kingdom",1999,0.715174615383148
"gbr","united kingdom",2000,0.720512926578522
"gbr","united kingdom",2001,0.71432101726532
"gbr","united kingdom",2002,0.718164920806885
"gbr","united kingdom",2003,0.721813499927521
"gbr","united kingdom",2004,0.728414535522461
"gbr","united kingdom",2005,0.728758275508881
"gbr","united kingdom",2006,0.716545224189758
"gbr","united kingdom",2007,0.717028439044952
"gbr","united kingdom",2008,0.724215030670166
"gbr","united kingdom",2009,0.733988761901855
"gbr","united kingdom",2010,0.676234543323517
"gbr","united kingdom",2011,0.730307996273041
"gbr","united kingdom",2012,0.720550775527954
"gbr","united kingdom",2013,0.706974983215332
"gbr","united kingdom",2014,0.698218047618866
"gbr","united kingdom",2015,0.694555342197418
"gbr","united kingdom",2016,0.685081839561462
"gbr","united kingdom",2017,0.673891663551331
"gbr","united kingdom",2018,0.665643393993378
"gbr","united kingdom",2019,0.658218622207642
"gbr","united kingdom",2020,0.673622965812683
"geo","georgia",1995,0.807692289352417
"geo","georgia",1996,0.855099499225616
"geo","georgia",1997,0.776267647743225
"geo","georgia",1998,0.72615385055542
"geo","georgia",1999,0.754157602787018
"geo","georgia",2000,0.817633271217346
"geo","georgia",2001,0.877131402492523
"geo","georgia",2002,0.854064047336578
"geo","georgia",2003,0.836352288722992
"geo","georgia",2004,0.904163420200348
"geo","georgia",2005,0.87518572807312
"geo","georgia",2006,0.834087252616882
"geo","georgia",2007,0.748448550701141
"geo","georgia",2008,0.786538302898407
"geo","georgia",2009,0.762171804904938
"geo","georgia",2010,0.767578363418579
"geo","georgia",2011,0.742585957050323
"geo","georgia",2012,0.763944208621979
"geo","georgia",2013,0.709837317466736
"geo","georgia",2014,0.675903618335724
"geo","georgia",2015,0.689078986644745
"geo","georgia",2016,0.6519935131073
"geo","georgia",2017,0.598992109298706
"geo","georgia",2018,0.566007614135742
"geo","georgia",2019,0.639759361743927
"geo","georgia",2020,0.740585505962372
"gtm","guatemala",2014,0.700248301029205
"gtm","guatemala",2015,0.661112725734711
"gtm","guatemala",2016,0.6599240899086
"gtm","guatemala",2017,0.700248301029205
"gtm","guatemala",2018,0.663910269737244
"gtm","guatemala",2019,0.702767610549927
"gtm","guatemala",2020,0.668802201747894
"hnd","honduras",2003,0.650937914848328
"hnd","honduras",2004,0.63053560256958
"hnd","honduras",2005,0.69612067937851
"hnd","honduras",2006,0.667998611927032
"hnd","honduras",2007,0.859029591083527
"hnd","honduras",2008,0.683328568935394
"hnd","honduras",2009,0.606473565101624
"hnd","honduras",2010,0.539812445640564
"hnd","honduras",2011,0.615499138832092
"hnd","honduras",2012,0.596051573753357
"hnd","honduras",2013,0.655414879322052
"hnd","honduras",2014,0.551779627799988
"hnd","honduras",2015,0.507469236850739
"hrv","croatia",2019,0.488944053649902
"hrv","croatia",2020,0.536981403827667
"hun","hungary",1995,0.628223836421967
"hun","hungary",1996,0.585994839668274
"hun","hungary",1997,0.55982369184494
"hun","hungary",1998,0.551750123500824
"hun","hungary",1999,0.519419848918915
"hun","hungary",2000,0.509758949279785
"hun","hungary",2001,0.502383410930634
"hun","hungary",2002,0.54386579990387
"hun","hungary",2003,0.542257010936737
"hun","hungary",2004,0.505723476409912
"hun","hungary",2005,0.529797196388245
"hun","hungary",2006,0.536610543727875
"hun","hungary",2007,0.488045334815979
"hun","hungary",2008,0.640152752399445
"hun","hungary",2009,0.645089983940125
"hun","hungary",2010,0.689600944519043
"hun","hungary",2011,0.665160477161407
"hun","hungary",2012,0.58824211359024
"hun","hungary",2013,0.536247372627258
"hun","hungary",2014,0.588725566864014
"hun","hungary",2015,0.568257033824921
"hun","hungary",2016,0.461498349905014
"hun","hungary",2017,0.496183812618256
"hun","hungary",2018,0.496259391307831
"hun","hungary",2019,0.519229173660278
"hun","hungary",2020,0.547973930835724
"idn","indonesia",2016,0.69924008846283
"idn","indonesia",2017,0.672974228858948
"idn","indonesia",2018,0.696505188941956
"idn","indonesia",2019,0.683259606361389
"idn","indonesia",2020,0.736350238323212
"irn","iran, islamic rep.",1999,0.0496434383094311
"irn","iran, islamic rep.",2000,-0.148055598139763
"irn","iran, islamic rep.",2001,0.0183999352157116
"irn","iran, islamic rep.",2002,0.0083637684583663
"irn","iran, islamic rep.",2003,-0.135647088289261
"irn","iran, islamic rep.",2004,-0.243133261799812
"irn","iran, islamic rep.",2005,-0.21420119702816
"irn","iran, islamic rep.",2006,-0.144842743873596
"irn","iran, islamic rep.",2007,0.030584929510951
"irn","iran, islamic rep.",2008,0.0289472974836826
"irn","iran, islamic rep.",2009,0.0024741624947637
"isl","iceland",1998,0.146901905536652
"isl","iceland",1999,0.130308017134666
"isl","iceland",2000,0.114304803311825
"isl","iceland",2001,0.138233304023743
"isl","iceland",2002,0.176166519522667
"isl","iceland",2003,0.148290246725082
"isl","iceland",2004,0.142743960022926
"isl","iceland",2005,0.0888253003358841
"isl","iceland",2006,0.076366551220417
"isl","iceland",2007,0.061541061848402
"isl","iceland",2008,0.158922001719475
"isl","iceland",2009,0.167857840657234
"isl","iceland",2010,0.169573485851288
"isl","iceland",2011,0.126849114894867
"isl","iceland",2012,0.134750247001648
"isl","iceland",2013,0.134873539209366
"isl","iceland",2014,0.162967637181282
"isl","iceland",2015,0.144734174013138
"isl","iceland",2016,0.106048189103603
"isl","iceland",2017,0.1695297062397
"isl","iceland",2018,0.124272830784321
"isl","iceland",2019,0.120950073003769
"isl","iceland",2020,0.151340529322624
"isr","israel",2000,0.367423802614212
"isr","israel",2001,0.38590133190155
"isr","israel",2002,0.399711579084396
"isr","israel",2003,0.408278942108154
"isr","israel",2004,0.319026678800583
"isr","israel",2005,0.294528305530548
"isr","israel",2006,0.281248241662979
"isr","israel",2007,0.280562102794647
"isr","israel",2008,0.289186120033264
"isr","israel",2009,0.271885097026825
"isr","israel",2010,0.250986933708191
"isr","israel",2011,0.264706492424011
"isr","israel",2012,0.306304693222046
"isr","israel",2013,0.336133033037186
"isr","israel",2014,0.31372806429863
"isr","israel",2015,0.306924879550934
"isr","israel",2016,0.330934554338455
"isr","israel",2017,0.363102912902832
"isr","israel",2018,0.396429091691971
"isr","israel",2019,0.386292070150375
"isr","israel",2020,0.445628792047501
"jpn","japan",1994,0.494612574577332
"jpn","japan",1995,0.506000816822052
"jpn","japan",1996,0.490181058645248
"jpn","japan",1997,0.470516592264175
"jpn","japan",1998,0.48959293961525
"jpn","japan",1999,0.488958895206451
"jpn","japan",2000,0.451123714447021
"jpn","japan",2001,0.44120267033577
"jpn","japan",2002,0.455118060112
"jpn","japan",2003,0.443186074495316
"jpn","japan",2004,0.409821391105652
"jpn","japan",2005,0.380021989345551
"jpn","japan",2006,0.339770644903183
"jpn","japan",2007,0.274026185274124
"jpn","japan",2008,0.277325123548508
"jpn","japan",2009,0.381697297096252
"jpn","japan",2010,0.373508036136627
"jpn","japan",2011,0.38157257437706
"jpn","japan",2012,0.376599699258804
"jpn","japan",2013,0.377235978841782
"jpn","japan",2014,0.373817771673203
"jpn","japan",2015,0.34234157204628
"jpn","japan",2016,0.343515068292618
"jpn","japan",2017,0.336822211742401
"jpn","japan",2018,0.323717504739761
"jpn","japan",2019,0.334753572940826
"jpn","japan",2020,0.467970043420792
"kaz","kazakhstan",2000,-0.0929132997989655
"kaz","kazakhstan",2001,-0.151224657893181
"kaz","kazakhstan",2002,0.102377466857433
"kaz","kazakhstan",2003,0.14555312693119
"kaz","kazakhstan",2004,0.292424589395523
"kaz","kazakhstan",2005,0.325336694717407
"kaz","kazakhstan",2006,0.325420707464218
"kaz","kazakhstan",2007,0.387563616037369
"kaz","kazakhstan",2008,0.528505921363831
"kaz","kazakhstan",2009,0.573466181755066
"kaz","kazakhstan",2010,0.566948056221008
"kaz","kazakhstan",2011,0.58020281791687
"kaz","kazakhstan",2012,0.58641916513443
"kaz","kazakhstan",2013,0.567031800746918
"kaz","kazakhstan",2014,0.564398050308228
"kaz","kazakhstan",2015,0.517853081226349
"kaz","kazakhstan",2016,0.547541737556458
"kaz","kazakhstan",2017,0.512388646602631
"kaz","kazakhstan",2018,0.472595423460007
"kaz","kazakhstan",2019,0.548848509788513
"kaz","kazakhstan",2020,0.585046648979187
"ken","kenya",2005,0.628940582275391
"ken","kenya",2006,0.374204009771347
"ken","kenya",2007,0.411225855350494
"ken","kenya",2008,0.405775755643845
"ken","kenya",2009,0.316419094800949
"ken","kenya",2010,0.381879478693008
"ken","kenya",2011,0.603639125823975
"ken","kenya",2012,0.548705637454987
"ken","kenya",2014,0.82359367609024
"ken","kenya",2015,0.868883371353149
"ken","kenya",2016,0.884631276130676
"ken","kenya",2017,0.901856303215027
"ken","kenya",2018,0.900307893753052
"ken","kenya",2019,0.897489309310913
"ken","kenya",2020,0.89993417263031
"kgz","kyrgyz republic",2006,0.444234043359756
"kgz","kyrgyz republic",2007,0.496771812438965
"kgz","kyrgyz republic",2008,0.474388211965561
"kgz","kyrgyz republic",2009,0.476235181093216
"kgz","kyrgyz republic",2010,0.502733290195465
"kgz","kyrgyz republic",2011,0.603274464607239
"kgz","kyrgyz republic",2012,0.606426298618317
"kgz","kyrgyz republic",2013,0.391788363456726
"kgz","kyrgyz republic",2014,0.0328101478517056
"kgz","kyrgyz republic",2015,0.0602433830499649
"kgz","kyrgyz republic",2016,0.155202224850655
"kgz","kyrgyz republic",2017,0.23525033891201
"kgz","kyrgyz republic",2018,0.193303182721138
"kgz","kyrgyz republic",2019,0.119220800697804
"khm","cambodia",2012,0.125239282846451
"khm","cambodia",2013,-0.0937795415520668
"khm","cambodia",2014,0.253711074590683
"khm","cambodia",2015,0.366612493991852
"khm","cambodia",2016,0.410654485225677
"khm","cambodia",2017,0.30142617225647
"khm","cambodia",2018,0.230785354971886
"khm","cambodia",2019,0.295689105987549
"khm","cambodia",2020,0.224449500441551
"kir","kiribati",2011,0.192033678293228
"kir","kiribati",2012,0.268912315368652
"kir","kiribati",2013,0.299022704362869
"kir","kiribati",2014,0.287536710500717
"kir","kiribati",2015,0.354467630386353
"kir","kiribati",2016,0.358646780252457
"kir","kiribati",2017,0.485957026481628
"kir","kiribati",2018,0.396539509296417
"kir","kiribati",2019,0.418989390134811
"kir","kiribati",2020,0.388301968574524
"kor","korea, rep.",2006,0.538429498672485
"kor","korea, rep.",2007,0.282575279474258
"kor","korea, rep.",2008,0.529125809669495
"kor","korea, rep.",2009,0.600920975208282
"kor","korea, rep.",2010,0.550875186920166
"kor","korea, rep.",2011,0.569796442985535
"kor","korea, rep.",2012,0.51187652349472
