"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"canada","can",19.9,23.19,26.19,27.47,27.61,30.44,34.24,35.87,37.14,39.42,41.05,42.55,46.22,49.62,54.32,59.86,67.01,71.88,78.49,86.41,92.74,101.25,113.05,132.56,158.3,178.42,205.5,227.11,251.91,287.61,322.78,368.36,388.18,421.32,461.99,500.03,526.63,574.34,626.89,671.58,695.5,701.77,718.44,747.04,791.97,831.62,859.83,906.93,940.55,1007.93,1106.07,1144.54,1193.69,1254.75,1335.73,1421.59,1496.6,1577.66,1657.04,1571.33,1666.05,1774.06,1827.2,1902.25,1994.9,1990.44,2025.54,2140.64,2235.68,2313.56,2220.53,2535.82,2850.94,2933.81,3069.08
"central african republic","caf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,14.03,14.17,14.73,17.68,21.22,24.26,28.76,33.39,40.22,46.5,53.65,61.61,71.1,85.55,97.26,115.7,138.51,157.83,188.42,168.4,218.1,240.4,253.9,278.7,379.9,386.04,362.24,380.17,402.88,405,396.17,377.86,366.24,473.62,560.04,516.65,566.04,606.4,638.67,616.02,659.24,684.96,690.66,691.97,745.21,803.95,841.08,910.46,972.28,1060.14,1148.9,1281.56,835.45,935.58,1002.59,1081.52,1203.32,1265.69,1334.98,1372.9,1432.76,1531.35,1578.3,1716.13
"chad","tcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.75,46.05,50.35,51.53,58.87,66.15,74.36,77.53,79.87,89.67,106.82,118.34,124.5,140.87,161.52,199.09,206.23,227.02,248.2,211.02,215.51,325.64,368.22,457.05,564.39,573.06,543.86,534.96,619.96,627.01,644.92,662.09,647.56,605.4,961.65,1059.54,1207.1,1323.58,1511.14,1387.16,1447.69,1839.5,2033.77,2334.52,3423.86,4563.71,5072.56,5200.54,5969.98,5792.89,6956.07,7862.95,9134.99,8823.67,8958.9,8607.81,7719.45,7751.21,8513.33,8733.31,8595.17,9356.01,11120.71,11124.63,11565.37
"chile","chl",NA,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.1,0.13,0.25,1.21,9.69,37.33,135.5,303.02,521.48,839.11,1132.26,1340.6,1304.8,1640.27,1993.74,2792.49,3600.43,4829.2,6357.25,7978.99,10132.31,13357.26,16895.06,20149.65,24167.36,29408.54,32393.86,35946.99,37741.62,38461.78,42215.03,45409.05,48428.96,52897.34,60391.76,68467.94,81577.53,90159.48,93867.12,96138.48,110777.87,121509.3,129973.39,137309.19,147951.29,158622.9,168764.69,179314.91,189434.87,195531.72,201257.75,239418.12,263065.44,281857.49,311630.88
"china, people's republic of","chn",NA,NA,66.51,80.3,84.13,89.16,100.63,104.56,127.2,137.63,137.69,118.9,114.58,122.96,144.96,171.09,186.23,176.85,171.79,193.2,224.59,241.9,251.04,271.26,278.14,298.82,293.47,319.22,363.41,407.82,454.87,493.04,539.65,604.58,730.41,912.5,1040.93,1221.95,1523.65,1728.08,1900.6,2214.29,2732.6,3583.44,4880.77,6160.64,7223.17,8023.61,8572.99,9115.37,10102.46,11185.53,12304.74,13913.16,16379.66,19056.63,22303.69,27480.19,32335.1,35360.64,41562.51,49268.04,54808.88,60612.5,65743.25,70415.75,76067.21,84506.67,93358.13,100672.28,104224.49,117310.97,123341.28,129427.17,134908.42
"colombia","col",11.26,12.78,13.82,15.38,18.32,19.09,21.4,25.56,29.61,33.82,38.56,43.97,49.31,64.96,81.12,87.01,109.84,123.77,138.98,162.79,190.09,219.62,268.23,345.66,454.23,571.31,719.33,996.85,1266.25,1648.59,2198.5,2760.46,3476.79,4252.03,5369.21,6913.6,9450.33,12285.52,16332.62,21059.72,28162,36346.27,46660.32,61115.9,80724.1,100932.96,120383.44,145481.5,167925.73,181171.02,207268,224483,243837,270695,305896,337957,381604,428506,476554,501574,544060,619023,666508,714094,762903,804692,863782,920471,987791,1060068,998471,1192634,1471079,1584562,1705323
"comoros, union of the","com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88,3.12,3.57,4.18,4.81,5.51,6.3,6.98,7.69,8.51,9.74,10.73,11.58,13.66,16.67,23.05,25.34,28.82,34.33,43.25,51.42,57.87,66.43,74.76,82.63,86.23,89.4,94.15,100.2,104.85,109.33,113.01,115.55,121.12,131.08,147.04,150.58,158.82,161.03,171.74,180.84,204.75,222.35,237.83,246.27,259.16,269.77,285.63,306.29,319.33,336.95,361.6,388.98,413.48,425.71,428.35,450.16,469.22,490.96,522.04,524.95,529.2,571.13,603.7,654.96
"congo, democratic republic of the","cod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,1.76,12.84,34.58,44.29,229.77,1317.08,2231.45,3025.87,3623.25,4113.63,5975.85,7250.85,9587.24,12832.33,15208.34,20261.58,24267.56,27619.66,32084.75,35485.19,37185,38997.91,57845.59,77940.34,83859.42,91858.65,110109.52,127090.76,157410.67,200438.53
"congo, republic of","cog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.36,67.5,65.95,64.81,70.38,79.05,83.35,87.64,94.62,99.6,104.91,115.33,133.14,146.22,177.58,201.63,215.93,226.22,251.73,322.52,457.49,482.36,508.57,536.21,565.36,596.08,628.48,662.64,698.65,790.56,792.04,856.26,868.31,850.51,1148.31,1226.47,1452.99,1498.78,1321.29,1627.1,2580.27,2226.9,2320.86,2240.81,2690.99,3506.27,4217.18,4203.7,5195.84,4572.8,6505.75,7377.58,9033.23,8869.81,8844.63,7029.66,6477.97,6871.77,8206.11,8189.07,6601.22,7419.75,8693.65,8593.07,9028.24
"costa rica","cri",1.41,1.53,1.68,1.91,2.09,2.21,2.26,2.49,2.61,2.71,2.91,2.94,3.18,3.42,3.63,3.95,4.31,4.66,5.15,5.68,6.56,7.17,8.25,10.21,13.28,16.88,20.77,26.45,30.34,34.75,41.6,57.37,97.96,129.92,163.78,198.85,247.74,285.87,351.39,427.92,525.31,881.04,1151.92,1362.41,1647.12,2079.86,2425.73,2934.16,3519.45,4072.33,4627.05,5254.08,5965.39,6885.56,8150.14,9577.02,11613.32,13889.05,16208.97,17626.15,19802.01,21623.52,23752.87,25462.95,28001.33,30171.92,32056.29,34343.65,36014.72,37832.15,36495.25,40326.63,44810.03,47059.27,49115.93
