"country","ccode","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"paraguay","pry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098472461104393,0.0879310443997383,0.0862536430358887,0.0984514579176903,0.0925777778029442,0.0801737606525421,0.0915335342288017,0.111658066511154,0.0983205735683441,0.0866560712456703,0.093154676258564,0.0886312499642372,0.100343450903893,0.0943615138530731,0.0746772363781929,0.0610883459448814
"peru","per",NA,NA,NA,NA,NA,0.233487218618393,0.275339514017105,0.249248221516609,0.210786327719688,0.235866844654083,0.23564501106739,0.246193885803223,0.275046676397324,0.273048043251038,0.297054171562195,0.297692537307739,0.329080104827881,0.33318230509758,0.377815514802933,0.37777978181839,0.374422311782837,0.354459464550018,0.405214369297028,0.395843088626862,0.366079866886139,0.329937636852264,0.357270896434784,0.351702660322189,0.361117422580719,0.345140755176544,0.328811138868332
"russian federation","rus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405724912881851,0.400691658258438,0.425120651721954,0.401317268610001,0.430167198181152,0.402895033359528,0.38543027639389,0.392719686031342,0.387131184339523,0.346074819564819,0.362961113452911,0.394678831100464,0.38365513086319,0.390360683202744,0.436489969491959,0.416402131319046
"rwanda","rwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186263889074326,0.183927193284035,0.188232600688934,0.187805309891701,0.18088798224926,0.157097011804581,0.175436407327652
"senegal","sen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024169659242034,0.0269903782755136,0.032244149595499,0.0267588347196579,0.0334040187299252,0.0386933945119381
"serbia, republic of","srb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178131714463234,0.183119565248489,0.169161170721054,0.163886219263077,0.166093781590462,0.167533338069916,0.245652213692665,0.230682402849197,0.231119215488434,0.227384835481644,0.216173619031906,0.218519479036331,0.21462906897068,0.179371550679207
"somalia","som",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327079176902771,0.343880832195282,0.387278169393539,0.315215587615967
"south africa","zaf",NA,NA,NA,NA,NA,NA,0.538015961647034,0.544305205345154,0.544071614742279,0.531722605228424,0.539370119571686,0.529998779296875,0.546062409877777,0.560863673686981,0.565439701080322,0.56079626083374,0.469213038682938,0.50837254524231,0.499605447053909,0.530556440353394,0.499740928411484,0.495185852050781,0.504186570644379,0.450219184160233,0.44687619805336,0.469224393367767,0.482997179031372,0.364750802516937,0.464406609535217,0.452987968921661,0.446030050516129
"spain","esp",NA,NA,NA,NA,NA,0.326964944601059,0.342559069395065,0.352664589881897,0.36352264881134,0.38406965136528,0.403219401836395,0.412555873394012,0.449869364500046,0.467600077390671,0.464078456163406,0.48321533203125,0.489526927471161,0.497370272874832,0.497594863176346,0.493373453617096,0.482707768678665,0.461954712867737,0.406716763973236,0.424237877130508,0.430276304483414,0.435252875089645,0.432060688734055,0.440744698047638,0.437155485153198,0.441097587347031,0.413224935531616
"sweden","swe",NA,NA,NA,NA,NA,0.371902465820313,0.384856432676315,0.396211355924606,0.418462783098221,0.415986388921738,0.418788969516754,0.435834407806396,0.437943071126938,0.435662537813187,0.434565424919128,0.43770769238472,0.446321487426758,0.461287975311279,0.468663454055786,0.467875599861145,0.468200147151947,0.477775514125824,0.478992760181427,0.47757014632225,0.486453622579575,0.492001414299011,0.503045201301575,0.508412718772888,0.510466635227203,0.511307835578918,0.488646954298019
