"country_name","country_code","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"bosnia and herzegovina","bih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952.331,1225.456,1415.096,1540.514,1484.344,1544.771,1789.896,2260.344,2702.663,2982.853,3417.44,4200.269,5111.345,4728.472,4645.534,5099.813,4781.303,5149.949,5271.744,4665.307,4877.176,5240.469,5864.899,5867.852,5811.393,6804.832,7077.519,7969.183,8606.971,9567.697,10701.066,11357.691,11961.255,12639.152,13343.202,14083.821
"belarus, republic of","blr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1286.951,1529.813,1880.217,2459.175,3232.491,3979.115,4896.501,6590.856,5350.621,6033.415,6485.981,6951.407,7994.708,8333.161,5953.752,5037.653,5785.291,6357.962,6838.218,6536.527,7332.084,7990.348,7821.879,8633.538,10208.724,11285.878,11940.195,12657.96,13533.075,14343.074,15137.967
"belize","blz",1523.579,1584.006,1553.693,1593.323,1730.803,1670.287,1768.405,2015.273,2334.537,2623.361,2892.862,3075.681,3496.187,3669.537,3658,3781.017,3830.356,3795.287,3895.375,4113.114,4556.836,4576.71,4736.493,4856.653,5066.202,5198.495,5464.195,5710.295,5666.241,5357.376,5424.01,5577.698,5737.057,5956.861,6123.803,6148.204,6150.767,6102.103,6035.101,6166.947,5209.415,6081.048,7161.557,7551.652,7796.261,7968.27,8134.145,8305.472,8449.054,8597.658,8748.876,8902.755
"bolivia","bol",690.164,610.906,663.387,615.109,626.278,663.756,635.99,678.346,706.647,710,717.845,777.092,810.416,811.704,832.161,921.301,1001.753,1065.393,1135.446,1088.254,1088.828,1039.657,999.447,1000.635,1063.6,1148.455,1354.51,1539.362,1936.722,2003.849,2229.172,2697.365,2990.119,3366.734,3623.13,3634.553,3721.437,4077.908,4237.518,4233.79,3607.068,4039.994,4250.215,4305.865,4453.39,5106.53,6333.163,NA,NA,NA,NA,NA
"brazil","bra",1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3751.971,3163.671,2844.405,3077.735,3647.959,4806.171,5906.244,7374.237,8863.269,8640.934,11341.268,13326.088,12465.45,12406.559,12230.669,8893.346,8812.503,10055.567,9281.668,9010.512,7057.072,7951.553,9256.482,10350.437,10282.171,10685.689,12312.57,12882.254,13368.879,14063.335,14796.844,15571.673
"barbados","brb",4391.482,4816.374,5017.248,5312.183,5775.129,6026.71,6595.949,7238.85,7672.165,8460.603,8455.664,8461.856,8121.33,8580.35,8915.001,9365.028,9992.634,10556.581,12054.544,12614.719,12967.252,12907.053,13091.772,13502.635,14523.605,16245.14,18066.097,20177.703,20581.197,19213.979,19418.044,19825.881,19484.349,20034.971,20060.698,20053.759,19926.699,20465.498,20950.36,21474.039,18767.854,20610.862,23799.442,24876.733,26076.09,27494.481,29019.595,30556.187,31908.568,33308.647,34771.96,36313.656
"brunei darussalam","brn",NA,NA,NA,NA,NA,21770.731,14544.374,16561.019,15281.058,16683.224,19428.846,20171.327,20679.723,20430.168,21350.36,24895.613,24460.83,23344.446,17294.914,18237.075,20473.284,18646.04,19037.814,20975.54,24759.511,29459.699,34869.24,36678.272,42529.703,31287.341,35446.131,47089.041,47782.13,44865.208,41935.024,31361.248,27328.859,28447.792,31068.297,29871.887,27178.738,31784.621,37458.529,33513.557,33665.186,34678.414,36287.89,37438.08,38595.987,39642.459,40848.881,42176.288
"bhutan","btn",310.544,326.458,334.785,352.981,356.618,359.018,393.189,460.073,510.763,497.468,529.34,459.033,455.499,484.302,498.276,586.027,611.202,673.644,721.863,736.65,779.99,789.785,836.678,976.218,1086.49,1245.919,1314.207,1587.186,1991.169,1843.961,2190.676,2665.242,2756.105,2766.066,2691.273,2929.383,3025.294,3278.29,3501.413,3434.538,3369.893,3391.978,3682.802,3726.454,3989.302,4394.15,4867.007,5349.409,5814.377,6397.483,6993.599,7584.262
"botswana","bwa",1255.634,1088.326,1107.255,1179.876,1130.005,1014.53,1326.751,2005.2,2511.518,2705.793,2880.204,2799.353,2810.474,2753.483,2885.351,3176.023,3179.172,3162.475,2971.612,3282.832,3387.648,3189.015,3092.301,4206.176,4879.969,5344.148,5291.584,5528.578,5503.074,5082.934,6215.732,7287.383,6595.538,6666.912,7122.364,6141.204,6749.06,7104.964,7407.959,7159.257,6310.519,7807.888,8328.709,7826.354,7677.609,7662.303,8489.604,9035.165,9571.162,10428.702,11353.902,12170.275
"central african republic","caf",323.953,327.185,308.837,289.167,274.407,351.719,445.911,487.031,513.278,500.756,567.589,523.912,507.462,428.336,271.164,342.376,300.356,280.52,287.713,282.394,229.526,231.619,249.617,293.325,316.29,333.617,354.697,397.941,452.67,448.085,481.952,537.296,546.817,365.48,440.374,406.443,427.282,461.931,493.485,495.904,504.657,532.278,499.815,537.508,537.996,578.96,612.826,628.003,644.767,667.451,691.132,716.031
"canada","can",11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.77,24279.8,28340.085,32178.496,36440.967,40559.017,44717.074,46773.744,40989.278,47625.742,52285.815,52745.057,52711.32,51025.428,43628.425,42382.499,45192.368,46617.97,46430.975,43573.195,52907.542,56608.779,55002.356,55209.059,55764.707,60304.564,63468.177,66123.089,68607.165,71028.366,73536.111
