"ccode","year","HL","F","SELF","G","P","vfi","logG","logP","Fed"
"eth",2006,3,0.333333333333333,NA,313.0138967,80703490,NA,5.74624758795713,18.2062923788974,0
"eth",2007,4,0,NA,338.7990647,83103217,NA,5.82540720214835,18.2355939714711,0
"eth",2008,4,0,NA,364.6422082,85543668,NA,5.89891662131493,18.2645375403674,0
"eth",2009,4,0,NA,385.6324197,88007636,NA,5.95488463518768,18.2929341414052,0
"eth",2010,4,0.5,NA,421.8986224,90538514,NA,6.04476505389623,18.3212858872021,0
"eth",2011,4,0,NA,455.9096286,93149970,NA,6.12229460697882,18.3497213329506,0
"eth",2012,0,0,NA,481.6399999,95798767,NA,6.17719694681639,18.3777603722946,0
"eth",2013,0,0,NA,518.3246622,98438751,NA,6.2506018069307,18.4049450954749,0
"eth",2014,0,0,NA,556.3625322,101115610,NA,6.32142011809819,18.4317750736546,0
"fin",1990,0,0,2.35,31291.52226,4986431,NA,10.3511024855275,15.4222309813674,0
"fin",1991,0,0,2.35,29290.9774,5013740,NA,10.2850348090158,15.4276927015493,0
"fin",1992,0,0,2.35,28162.35123,5041992,NA,10.24574130217,15.4333118000568,0
"fin",1993,0,0,8.32,27807.86147,5066447,NA,10.2330740463928,15.4381503409454,0
"fin",1994,0,0,8.32,28785.91957,5088333,NA,10.2676416427522,15.4424608299737,0
"fin",1995,0,0,8.32,29890.52433,5107790,NA,10.3052967971114,15.4462773833082,0
"fin",1996,0,0,8.32,30883.83472,5124573,NA,10.337988177776,15.4495577624445,0
"fin",1997,0,0,8.32,32762.11791,5139835,NA,10.3970281851447,15.4525315357488,0
"fin",1998,0,0,8.32,34457.45559,5153498,NA,10.4474806707337,15.4551862653731,0
"fin",1999,0,0,8.32,35886.49491,5165474,NA,10.4881163173496,15.4575074278643,0
"fin",2000,1,0,8.32,37872.60203,5176209,NA,10.5419832280681,15.4595834930185,0
"fin",2001,0,0,8.32,38784.13081,5188008,NA,10.5657664422059,15.4618603664373,0
"fin",2002,0,0,8.32,39343.0699,5200598,NA,10.5800751239773,15.4642841769397,0
"fin",2003,0,0,8.32,40038.98397,5213014,NA,10.5976088577326,15.4666687493403,0
"fin",2004,0,0,8.32,41521.96287,5228172,NA,10.6339777920113,15.4695722529555,0
"fin",2005,0,0,8.33,42529.35069,5246096,NA,10.6579497210256,15.4729947388984,0
"fin",2006,0,0,8.33,44069.39588,5266268,NA,10.6935208495506,15.4768325102615,0
"fin",2007,1,0,8.33,46213.6899,5288720,NA,10.7410313513581,15.4810868085825,0
"fin",2008,1,0,8.33,46359.87328,5313399,NA,10.7441895640591,15.4857423014275,0
"fin",2009,0,0,8.33,42412.51335,5338871,NA,10.6551987238581,15.4905247653624,0
"fin",2010,0,0,7.07,43556.53858,5363352,NA,10.6818151106205,15.495099710717,0
"fin",2011,1,0,7.07,44391.45357,5388272,NA,10.7008022427301,15.499735297792,0
"fin",2012,0,0,7.07,43507.93454,5413971,NA,10.6806986036617,15.5044933926588,0
"fin",2013,1,0,7.05,42883.6385,5438972,NA,10.6662456452232,15.5091006303867,0
"fin",2014,3,0,7.05,42502.48802,5461512,NA,10.6573178948461,15.5132362324619,0
"fra",1990,4,0.333333333333333,20.6,27992.97515,58261012,NA,10.2397088701798,17.8804436797532,0
"fra",1991,3.66666666666667,0.333333333333333,20.6,28197.23595,58554242,NA,10.2469792361649,17.8854640962802,0
"fra",1992,4,0,20.6,28482.51947,58846584,NA,10.2570458261497,17.8904443441065,0
"fra",1993,3.4,0,20.6,28257.09625,59103094,NA,10.2490998997207,17.8947938329519,0
"fra",1994,3.66666666666667,0,20.6,28822.50065,59324863,NA,10.2689116336589,17.8985390509703,0
"fra",1995,4,0,20.6,29379.61584,59541294,NA,10.2880563740808,17.9021806466043,0
"fra",1996,4,0,20.63,29683.77861,59754504,NA,10.2983560008356,17.905755126688,0
"fra",1997,0,0,20.64,30325.52287,59968066,NA,10.319744975873,17.9093227451666,0
"fra",1998,4,0,20.65,31256.50738,60190684,NA,10.3499828696464,17.9130281474733,0
"fra",1999,2.66666666666667,0,20.65,32152.72075,60501986,NA,10.3782523528347,17.9181867489086,0
"fra",2000,1.5,0,20.65,33255.13796,60918661,NA,10.411964559259,17.9250501061042,0
"fra",2001,4,0,20.96,33640.6738,61364377,NA,10.4234911436128,17.9323400455952,0
"fra",2002,0,0,20.96,33753.5783,61812142,NA,10.4268417143843,17.9396103756216,0
"fra",2003,0,0,20.96,33840.61757,62249855,NA,10.4294170632581,17.9466667639891,0
"fra",2004,3.5,0.5,20.96,34557.14711,62707588,NA,10.4503696706102,17.9539930190144,0
"fra",2005,3.33333333333333,0.333333333333333,20.96,34946.03725,63180854,NA,10.4615603578287,17.9615118701826,0
"fra",2006,0,0,20.96,35645.41624,63622342,NA,10.4813758408577,17.9684752559309,0
"fra",2007,0,0,20.96,36322.16851,64016890,NA,10.5001835366047,17.9746575127568,0
"fra",2008,0,0,20.96,36257.36589,64375116,NA,10.4983978366066,17.9802377188883,0
"fra",2009,1,0,21.12,35052.85108,64706436,NA,10.4646122323785,17.9853712290215,0
"fra",2010,0,0,21.51,35578.1968,65026211,NA,10.4794882797782,17.9903009927319,0
"fra",2011,2.5,0,21.12,36269.95615,65340830,NA,10.4987450232881,17.9951276668419,0
"fra",2012,0,0,21.13,36161.29183,65657659,NA,10.4957445392551,17.9999648160363,0
"fra",2013,0,0,21.13,36256.08668,65997932,NA,10.4983625546016,18.0051339661665,0
