"country","ccode","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"moldova, republic of","mda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310358494520187,0.30329966545105,0.386246234178543,0.409983426332474,0.468477219343185,0.508295774459839,0.554878115653992,0.617235243320465,0.538687288761139,0.481525272130966,0.454184710979462,0.634848654270172,0.667421102523804,0.738623082637787,0.720535695552826,0.715006768703461,0.731157600879669,0.760809123516083
"mongolia","mng",NA,NA,0.26839479804039,0.434592813253403,0.332961767911911,0.302601933479309,0.3724744617939,0.390014290809631,0.372142523527145,0.42670202255249,0.430841147899628,0.467747747898102,0.440866708755493,-0.0780309215188026,NA,NA,0,-0.0804909840226173,-0.0949510186910629,-0.660496354103088,-0.534845292568207,-0.304064720869064,-0.0351075418293476,0.624831140041351,0.555385112762451,0.572949945926666,0.526936054229736,0.483150511980057,0.422910809516907,0.085428275167942,0.577430963516235
"myanmar","mmr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543567538261414,0.453387439250946,0.621492028236389,0.782776951789856,0.854177892208099,0.809560894966125,0.825344800949097,0.787953615188599,NA
"namibia","nam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306478321552277,0.247246414422989,0.120338544249535,NA,NA
"nepal","npl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23368036746979,0.774131298065186
"netherlands, the","nld",NA,NA,NA,NA,NA,0.744612991809845,0.680550217628479,0.7109015583992,0.665594398975372,0.66488653421402,0.668949663639069,0.666616797447205,0.664294362068176,0.676067471504211,0.663584113121033,0.665333449840546,0.676778554916382,0.679441213607788,0.667378962039948,0.676352918148041,0.664522111415863,0.683833777904511,0.69190114736557,0.683867275714874,0.686943590641022,0.704660594463348,0.720227837562561,0.710346639156342,0.709030091762543,0.705550372600555,0.727467477321625
"new zealand","nzl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0839662924408913,0.0931562632322311,0.0972146168351173,0.113566607236862,0.131458595395088,0.140921980142593,NA,0.158780738711357,0.1611198335886,0.181165918707848,0.198851987719536,0.186496332287788,0.144537329673767,0.139586880803108,0.143674209713936,0.133276417851448,0.136160656809807,0.139752686023712,0.142090573906899
"north macedonia, republic of","mkd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371886968612671,0.501073658466339,NA,NA,NA,NA,NA,0.602199077606201,0.631320059299469,0.612045347690582,0.61636608839035,0.620278000831604,0.749492108821869,0.612013459205627,0.684499382972717
"palau, republic of","plw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.499170422554016,0.513225853443146,0.498801112174988,0.483690053224564,0.442674189805985,0.455513328313828,0.37962219119072,0.381326794624329,0.46519723534584,0.50613671541214,0.498093903064728,NA
"paraguay","pry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501839220523834,0.469742119312286,0.533669769763947,0.452934503555298,0.542576014995575,0.542504131793976,0.435964107513428,0.554718136787415,0.580425381660461,0.449029475450516,0.454168349504471,0.362211406230927,0.507661998271942,0.519139409065247,0.628948450088501,0.678348183631897
"peru","per",NA,NA,NA,NA,NA,0.795041739940643,0.775664508342743,0.765857458114624,0.741174757480621,0.766486763954163,0.802724480628967,0.792332947254181,0.816010713577271,0.847611963748932,0.860030174255371,0.912079155445099,0.87744140625,1.06560099124908,0.879322290420532,0.799466788768768,0.811258435249329,0.950356125831604,0.869905114173889,0.854296624660492,0.896504640579224,0.914833903312683,0.865936577320099,0.93705826997757,0.897120594978333,0.974169909954071,1.04726994037628
"russian federation","rus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118350818753242,0.131806075572968,0.112012192606926,0.125753596425056,0.170614272356033,0.159996941685677,0.134482175111771,0.115629732608795,0.100580886006355,0.0934675559401512,0.106116220355034,0.240810289978981,0.245883390307426,0.268165558576584,0.238226592540741,0.308922618627548
"rwanda","rwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876032054424286,0.859447777271271,0.857661545276642,0.807275772094727,0.828928053379059,0.81619268655777,0.802926003932953
"senegal","sen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.540209829807281,0.525353074073792,0.449245095252991,0.852952063083649,0.990578711032867,0.953744292259216
