"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","SECTOR","FREQUENCY","SCALE","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.STA:FD(6.0.0)","BGR.VFI_PT.SNG.A","OBS_VALUE","Bulgaria","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","0.0399766005575657","0.221438452601433","0.416548281908035","0.451505422592163","0.479395776987076","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:FD(6.0.0)","CZE.VFI_PT.S1311MIXED.A","OBS_VALUE","Czech Republic","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","0.232454031705856","-0.115098342299461","0.00965403579175472","0.0530529581010342","0.0423338897526264","0.0353288426995277","0.113954104483128","0.129470199346542","0.0707117691636086","-0.0662365183234215","-0.0331761091947556","-0.0337721444666386","-0.0580770410597324","-0.013918774202466","0.0821315720677376","0.0482459254562855","0.0103603135794401","0.0687413811683655","-0.00258698360994458","0.0242792721837759","0.00760619388893247","-0.0569811798632145","-0.0983935222029686","-0.0841713920235634","-0.0662577375769615","0.102040134370327"
"IMF.STA:FD(6.0.0)","BGR.VFI_PT.S1311MIXED.A","OBS_VALUE","Bulgaria","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","0.112098768353462","-0.0824902951717377","0.138979256153107","0.303903102874756","0.137912586331367","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:FD(6.0.0)","KAZ.VFI_PT.S1311MIXED.A","OBS_VALUE","Kazakhstan, Republic of","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","","","","","","","","","","","-0.304742842912674","-0.361676692962646","-0.315883755683899","-0.359898298978806","-1.14070963859558","-0.92522531747818","-1.23611807823181","-0.992965936660767","-0.927217662334442","-0.770740628242493","-0.145277753472328","-0.127616226673126","-0.051073182374239","-0.386789441108704","-0.313291490077972","-0.0483757928013802"
"IMF.STA:FD(6.0.0)","GBR.VFI_PT.S1311MIXED.A","OBS_VALUE","United Kingdom","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","-0.208578139543533","-0.186750397086143","-0.110989443957806","-0.0305014736950397","-0.0726457983255386","-0.0361914560198784","-0.0678130015730858","-0.118060670793056","-0.180379375815392","-0.21027173101902","-0.261526584625244","-0.198056772351265","-0.134562313556671","-0.10042105615139","-0.101450242102146","-0.104782268404961","-0.116890124976635","-0.117371313273907","-0.0377679541707039","0.0805168822407722","-0.0986587256193161","0.00775073328986764","0.0371864475309849","-0.0614850595593452","-0.0480720289051533","-0.0776520296931267","-0.112751595675945","-0.113401897251606","-0.0943814069032669","-0.099278137087822","0.163358077406883"
"IMF.STA:FD(6.0.0)","PER.VFI_PT.SNG.A","OBS_VALUE","Peru","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","0.786934375762939","0.782094538211823","0.782032907009125","0.740046501159668","0.788438022136688","0.791477918624878","0.789655148983002","0.803694009780884","0.82311749458313","0.821493923664093","0.838448405265808","0.859544396400452","0.8595290184021","0.850673317909241","0.845136165618896","0.868684470653534","0.847872197628021","0.868049919605255","0.87643963098526","0.880116760730743","0.863692879676819","0.860845565795898","0.872748911380768","0.883916795253754","0.877265334129334","0.916753172874451"
"IMF.STA:FD(6.0.0)","IRN.VFI_PT.SNG.A","OBS_VALUE","Iran, Islamic Republic of","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","0.0496434383094311","-0.148055598139763","0.0183999352157116","0.00836376845836639","-0.135647088289261","-0.243133261799812","-0.21420119702816","-0.144842743873596","0.030584929510951","0.0289472974836826","0.00247416249476373","","","","","","","","","","",""
"IMF.STA:FD(6.0.0)","KIR.VFI_PT.SNG.A","OBS_VALUE","Kiribati","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","0.192033678293228","0.268912315368652","0.299022704362869","0.287536710500717","0.354467630386353","0.358646780252457","0.485957026481628","0.396539509296417","0.418989390134811","0.388301968574524"
"IMF.STA:FD(6.0.0)","HUN.VFI_PT.SNG.A","OBS_VALUE","Hungary","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","0.628223836421967","0.585994839668274","0.55982369184494","0.551750123500824","0.519419848918915","0.509758949279785","0.502383410930634","0.54386579990387","0.542257010936737","0.505723476409912","0.529797196388245","0.536610543727875","0.488045334815979","0.640152752399445","0.645089983940125","0.689600944519043","0.665160477161407","0.58824211359024","0.536247372627258","0.588725566864014","0.568257033824921","0.461498349905014","0.496183812618256","0.496259391307831","0.519229173660278","0.547973930835724"
"IMF.STA:FD(6.0.0)","ESP.VFI_PT.SNG.A","OBS_VALUE","Spain","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","0.599966406822205","0.602458417415619","0.539766430854797","0.533856689929962","0.538567304611206","0.551447987556458","0.568436861038208","0.526650190353394","0.527391850948334","0.500311017036438","0.491575092077255","0.471984297037125","0.495201289653778","0.557230651378632","0.594369769096375","0.60200697183609","0.565195560455322","0.451562970876694","0.487960606813431","0.484076648950577","0.478656560182571","0.447526216506958","0.433678269386292","0.431534886360168","0.439808577299118","0.488432765007019"
