"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","SECTOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.STA:FD(6.0.0)","PER.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Peru","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","3.731440782547","3.55963778495789","3.51363801956177","2.85118222236633","3.6229887008667","3.84959006309509","3.76682806015015","4.15683078765869","4.79194974899292","4.81793212890625","5.64574575424194","6.24710941314697","7.58591461181641","5.88858222961426","5.1623854637146","6.17793083190918","6.24708938598633","6.59268426895142","6.91400241851807","7.47814989089966","6.71156358718872","6.22284603118896","7.36385154724121","7.72825574874878","7.9372034072876","12.5803022384644"
"IMF.STA:FD(6.0.0)","CRI.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Costa Rica","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","0.0535217300057411","0.0194931775331497","0.188240110874176","0.488434791564941","0.638847887516022","0.996446549892426","0.225683555006981","0.185693517327309","0.144852861762047","0.127485379576683","0.143077626824379","0.0808911919593811","0.0959484428167343","","","","","",""
"IMF.STA:FD(6.0.0)","CHL.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Chile","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","0.542598068714142","0.527350008487701","0.515200853347778","0.508592307567596","0.525133550167084","0.418759226799011","0.40326976776123","0.377859830856323","0.472214370965958","0.497065007686615","0.772689640522003","0.71893322467804","0.854838669300079","0.920493602752686","1.02073585987091","0.97812807559967","1.00857472419739","1.04154598712921","1.04551661014557","1.04697692394257","1.00091564655304"
"IMF.STA:FD(6.0.0)","GEO.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Georgia","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","0.807692348957062","0.855099499225616","0.754835307598114","0.719999969005585","0.75921905040741","0.819979906082153","0.877131402492523","0.849160552024841","0.838850677013397","0.944540500640869","0.856612145900726","0.86043107509613","0.666167378425598","0.768528521060944","0.781799614429474","0.756805598735809","0.794081151485443","0.745296597480774","0.768683254718781","0.725963890552521","0.708739757537842","0.703734874725342","0.687390744686127","0.778846621513367","0.695158898830414","0.634452223777771"
"IMF.STA:FD(6.0.0)","CRI.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Costa Rica","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","0.0472232699394226","0.0186567157506943","0.201174631714821","0.933254182338715","0.600628316402435","1.02533435821533","0.274097710847855","0.228893414139748","0.174423903226852","0.148280218243599","0.165000706911087","0.0859647020697594","0.106098160147667","0.0815001875162125","-0.021835695952177","0.181814849376678","0.256537407636642","-0.0650496631860733","0.170726746320724"
"IMF.STA:FD(6.0.0)","PER.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Peru","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","0.795041739940643","0.775664508342743","0.765857458114624","0.741174757480621","0.766486763954163","0.802724480628967","0.792332947254181","0.816010713577271","0.847611963748932","0.860030174255371","0.912079155445099","0.87744140625","1.06560099124908","0.879322290420532","0.799466788768768","0.811258435249329","0.950356125831604","0.869905114173889","0.854296624660492","0.896504640579224","0.914833903312683","0.865936577320099","0.93705826997757","0.897120594978333","0.974169909954071","1.04726994037628"
"IMF.STA:FD(6.0.0)","ALB.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Albania","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","2.98817038536072","2.97698760032654","3.58633947372437","3.453857421875","3.29098200798035","3.0784866809845","2.97142243385315","2.44167637825012","2.20392179489136","2.79488325119019"
"IMF.STA:FD(6.0.0)","CHL.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Chile","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","0.345051765441895","0.347286492586136","0.341803908348084","0.339423179626465","0.34301221370697","0.312396705150604","0.306418210268021","0.289402425289154","0.347899228334427","0.346805810928345","0.450317353010178","0.440873324871063","0.479780822992325","0.499972879886627","0.525490522384644","0.503414630889893","0.510705649852753","0.528720855712891","0.535548448562622","0.530227184295654","0.523374736309052"
"IMF.STA:FD(6.0.0)","KIR.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Kiribati","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","0.297095894813538","0.250041007995605","0.244713142514229","0.276998400688171","0.442613750696182","0.412021845579147","0.430347293615341","0.5757155418396","0.582622885704041","0.634390354156494"
"IMF.STA:FD(6.0.0)","AUT.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Austria","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","1.57320082187653","1.55548644065857","2.10942554473877","2.13414096832275","2.27827382087708","2.38247299194336","2.28016757965088","2.28992676734924","2.15847444534302","2.15117335319519","2.13858532905579","2.17298936843872","2.20332479476929","2.36097860336304","2.23810338973999","2.17206168174744","2.25800490379334","2.25710892677307","2.29625248908997","2.23301601409912","2.27292728424072","2.16670823097229","2.22214436531067","2.08952617645264","2.15138721466064","2.06805634498596"
